                                   	;",9;fhtagn.",4;him.,2;more.,2;dreaming.",2;impressions.,1;data.,1;Clay,1;abnormal.,1;Legrasse.,1;Sea,1;pattern.,1;follows:,1;it.,1;wonder.,1;Tartarus.,1;Them.,1;enough!,1;delight.,1;soul.,1;swamp.,1;variable.,1;lives.,1;Babylon.",1;air.,1;incidents.,1;Angell.,1;couplet:,1;address.,1;upset.,1;convexity.,1;meeting.,1;them.,1;madness.,1;now.,1;Them.",1;research.,1;text.,1;mammals.,1;eye.,1;.,1;Webb.,1;reality.,1;description.,1;affiliations.,1;horror.,1;fighting.,1;memories.,1;----------------------------------------------------------------------,1;ritual:,1;22-23.,1;fire.,1;man.,1;part.,1;superstition.,1;painting.,1;steam.,1;mind.,1;visions.,1;cotton.,1;water.,1;1925.,1;Follow.,1;faith.,1;disorder.,1;this:,1;age.,1;die.,1;about.,1;aloud:,1;hopeless.,1;uncle?,1;deliriously.,1;Legrasse.,1;background.,1;stone.,1;"R'lyeh.",1;away.,1;return.,1;before.,1;promises.,1;aboard.,1;China.,1;fountain-head.,1;hitherto.,1;boat.,1;Wilcox.,1;balauced,1;SEA,1;professor.,1;solution.,1;
sad. The                           	;subject,1;
or along                           	;the,1;
the singular                       	;clay,1;
voyage. I                          	;cannot,1;
remains in                         	;his,1;
audible far,                       	;far,1;
As it                              	;was,1;
scattered plasticity               	;of,1;
significance. It                   	;savoured,1;
Then Donovan                       	;felt,1;
but God                            	;knows,1;
advices from                       	;Dunedin,1;
been studying                      	;sculpture,1;
youth had                          	;found,1;
suddenly in                        	;sight,1;
not but                            	;realise,1;
of green-crusted                   	;rock,1;
meanings in                        	;the,1;
brief trip                         	;by,1;
slimy vaults                       	;and,1;
unkempt in                         	;aspect,1;
revelation or                      	;flee,1;
image; but                         	;what,1;
had always                         	;existed,1;
they been                          	;able,1;
